No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Contact TG/DMR ID,Radio ID,Busy channel Lock-Out/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,Receive Group List,TX Prohibit,Reverse,Simplex TDMA,TDMA Adaptive,Encryption Type,Digital Encryption,Call Confirmation,Talk Around,Work Alone,Custom CTCSS,2TONE Decode,DTMF Own ID,5TONE Own ID,Scan List 1,Scan List 2,Scan List 3,Scan List 4,Scan List 5,Scan List 6,Scan List 7,Scan List 8,Ranging,Through Mode,APRS Report,APRS Report Channel
25,A 01 - 446.00625,446.00625,446.00625,A-Analog,Turbo,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Start,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,PMR & DMR - 446,,,,,,,,Off,Off,Off,1
26,A 02 - 446.01875,446.01875,446.01875,A-Analog,Turbo,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,PMR & DMR - 446,,,,,,,,Off,Off,Off,1
27,A 03 - 446.03125,446.03125,446.03125,A-Analog,Turbo,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,PMR & DMR - 446,,,,,,,,Off,Off,Off,1
28,A 04 - 446.04375,446.04375,446.04375,A-Analog,Turbo,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,PMR & DMR - 446,,,,,,,,Off,Off,Off,1
29,A 05 - 446.05625,446.05625,446.05625,A-Analog,Turbo,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,PMR & DMR - 446,,,,,,,,Off,Off,Off,1
30,A 06 - 446.06875,446.06875,446.06875,A-Analog,Turbo,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,PMR & DMR - 446,,,,,,,,Off,Off,Off,1
31,A 07 - 446.08125,446.08125,446.08125,A-Analog,Turbo,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,PMR & DMR - 446,,,,,,,,Off,Off,Off,1
32,A 08 - 446.09375,446.09375,446.09375,A-Analog,Turbo,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,PMR & DMR - 446,,,,,,,,Off,Off,Off,1
33,A 09 - 446.10625,446.10625,446.10625,A-Analog,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,PMR & DMR - 446,,,,,,,,Off,Off,Off,1
34,A 10 - 446.11875,446.11875,446.11875,A-Analog,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,PMR & DMR - 446,,,,,,,,Off,Off,Off,1
